id,Nombre,Apodo,Localidad,Fundación,División,Estadio,Capacidad,Figura,Director Técnico, Trofeos
1,Agropecuario,Sojero,Carlos Casares - Buenos Aires,23-08-2011,Primera B Nacional,Ofelia Rosenzuaig,8000,Matias Fritzler,Diego Osella,0  
2,Aldosivi,Tiburón,Mar del Plata - Buenos Aires,29-03-1913,Superliga,José María Minella,35354,Santiago Silva,Martín Palermo,0
3,All'Boys
4,Almagro
5,Alvarado
6,Argentinos
7,Arsenal
8,Almirante Brown
9,Atlanta
10,Atletico Rafaela
11,Atletico Tucuman
12,Banfield
13,Barracas Central
14,Belgrano
15,Boca Juniors
16,Brown (A)
17,Brown (PM)
18,Central Cordoba
19,Chacarita
20,Chaco for Ever
21,Colon
22,Defensa y Justicia
23,Def de Belgrano
24,Dep.Madryn
25,Dep.Maipu
26,Dep. Moron
27,Estudiantes
28,Estudiantes (BA)
29,Estudiantes (RC)
30,Ferro
31,Flandria
32,Gimnasia (LP)
33,Gimnasia (J)
34,Gimnasia (M)
35,Godoy Cruz
36,Guemes (SdE)
37,Huracán
38,Independiente
39,Independiente (R)
40,Instituto
41,Lanús
42,Mitre (SdE)
43,Newell's
44,Nueva Chicago
45,Patronato
46,Platense
47,Quilmes
48,Racing
49,Riestra
50,River
51,Rosario Central
52,Sacachispas
53,San Lorenzo
54,San Martin (SJ)
55,San Martin (T)
56,San Telmo
57,Santamarina
58,Sarmiento
59,Talleres
60,Temperley
61,Tigre
62,Tristán Suarez
63,Unión
64,Velez
65,Villa Dálmine